Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric",7.100000,-33.800000,315.000000,top
"C2","20pF","C_0805_2012Metric",8.350000,-50.400000,225.000000,top
"C3","20pF","C_0805_2012Metric",3.400000,-44.700000,225.000000,top
"C4","1u","C_0805_2012Metric",11.300000,-29.600000,315.000000,top
"C5","1u","C_0805_2012Metric",5.700000,-35.200000,315.000000,top
"C6","100n","C_0805_2012Metric",17.046136,-31.520672,135.000000,top
"C7","100n","C_0805_2012Metric",5.900000,-42.400000,315.000000,top
"C8","100n","C_0805_2012Metric",22.100000,-36.500000,315.000000,top
"C9","100n","C_0805_2012Metric",24.051000,-64.897000,270.000000,top
"C10","10u","C_0805_2012Metric",9.000000,-18.250000,180.000000,top
"C11","100n","C_0805_2012Metric",17.084951,-47.591056,45.000000,top
"C12","10u","C_0805_2012Metric",4.525000,-7.940000,270.000000,top
"C13","1u","C_0805_2012Metric",2.542000,-7.940000,270.000000,top
"C14","100n","C_0805_2012Metric",12.525000,-64.897000,270.000000,top
"C15","100n","C_0805_2012Metric",0.550000,-7.940000,270.000000,top
"C16","10u","C_0805_2012Metric",9.000000,-24.000000,0.000000,top
"C17","100n","C_0805_2012Metric",12.500000,-55.700000,90.000000,top
"C18","100n","C_0805_2012Metric",4.950000,-55.550000,90.000000,top
"C19","100n","C_0805_2012Metric",12.500000,-59.300000,90.000000,top
"C20","10u","C_0805_2012Metric",-0.875000,-43.300000,180.000000,top
"D1","Power LED","LED_0805_2012Metric",24.450000,-57.525000,90.000000,top
"D2","LED1","LED_0805_2012Metric",17.300000,-57.400000,90.000000,top
"D3","1N5817","D_SOD-323",9.050000,-20.250000,0.000000,top
"D4","1N5817","D_SOD-323",8.600000,-64.900000,90.000000,top
"FB1","500mA","L_0805_2012Metric",9.050000,-22.100000,180.000000,top
"FB2","500mA","L_0805_2012Metric",18.375000,-30.200000,135.000000,top
"FB3","500mA","L_0805_2012Metric",18.450000,-48.900000,225.000000,top
"FB4","500mA","L_0805_2012Metric",-1.800000,-46.050000,270.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-2.200000,-25.700000,270.000000,top
"J2","NRF24","NRF24L01",13.000000,-23.000000,90.000000,top
"J3","DB25_Female_MountingHoles","DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm",30.630000,-15.320000,90.000000,top
"J4","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-2.200000,-53.300000,270.000000,top
"R1","22r","R_0805_2012Metric",9.900000,-31.000000,135.000000,top
"R2","22r","R_0805_2012Metric",8.500000,-32.400000,135.000000,top
"R3","1k","R_0805_2012Metric",26.404000,-57.525000,90.000000,top
"R4","10k","R_0805_2012Metric",26.025000,-64.897000,90.000000,top
"R5","10k","R_0805_2012Metric",10.550000,-64.897000,90.000000,top
"R6","1k","R_0805_2012Metric",26.162000,-35.800000,90.000000,top
"R7","1k","R_0805_2012Metric",19.400000,-57.400000,270.000000,top
"R10","5.1k","R_0805_2012Metric",5.500000,-24.000000,180.000000,top
"R11","5.1k","R_0805_2012Metric",1.400000,-32.300000,180.000000,top
"R12","5.1k","R_0805_2012Metric",0.050000,-46.100000,270.000000,top
"R13","5.1k","R_0805_2012Metric",6.600000,-64.900000,270.000000,top
"SW1","SW_Push","Alps_SKRK",21.336000,-64.897000,270.000000,top
"SW2","SW_Push","Alps_SKRK",15.240000,-64.897000,270.000000,top
"U1","ATmega32U4","TQFP-44_10x10mm_P0.8mm",14.072454,-39.545666,315.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",2.666000,-14.520000,90.000000,top
"U3","CH330N","SOIC-8_3.9x4.9mm_P1.27mm",8.750000,-57.550000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",6.558000,-46.836000,90.000000,top
