Designator,Qty, Comment,LCSC,Footprint
"C1, C4, C5, C13",4,1u,C28323,Capacitor_SMD:C_0805_2012Metric
"C2, C3",2,20pF,C1798,Capacitor_SMD:C_0805_2012Metric
"C6, C7, C8, C9, C11, C14, C15, C17, C18, C19",10,100n,C49678,Capacitor_SMD:C_0805_2012Metric
"C10, C12, C16",3,10u,C15850,Capacitor_SMD:C_0805_2012Metric
D1,1,Power LED,C84256,LED_SMD:LED_0805_2012Metric
D2,1,LED1,C2297,LED_SMD:LED_0805_2012Metric
"D3, D4",2,1N5817,C489146,Diode_SMD:D_SOD-323
"FB1, FB2, FB3, FB4",4,500mA,C85837,Inductor_SMD:L_0805_2012Metric
"J1, J4",2,USB_B_Micro,C404969,OpenRetroPad:MICROXNJ
J2,1,NRF24,C239344,OpenRetroPad:NRF24L01
J3,1,DB25_Female_MountingHoles,C77838,Connector_Dsub:DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm
"R1, R2",2,22r,C17561,Resistor_SMD:R_0805_2012Metric
"R3, R6, R7",3,1k,C17513,Resistor_SMD:R_0805_2012Metric
"R4, R5",2,10k,C17414,Resistor_SMD:R_0805_2012Metric
"SW1, SW2",2,SW_Push,C115357,OpenRetroPad:Alps_SKRK
U1,1,ATmega32U4,C44854,Package_QFP:TQFP-44_10x10mm_P0.8mm
U2,1,AMS1117-3.3,C6186,Package_TO_SOT_SMD:SOT-223-3_TabPin2
U3,1,CH330N,C108996,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
Y1,1,16MHz,C13738,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm
