Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,7.4,-35.5,315,top
C2,20pF,C_0805_2012Metric,8.707561,-50.352866,225,top
C3,20pF,C_0805_2012Metric,3.6,-44.5,225,top
C4,1u,C_0805_2012Metric,11.6,-31.3,315,top
C5,1u,C_0805_2012Metric,6,-36.9,315,top
C6,100n,C_0805_2012Metric,16.746136,-32.520672,135,top
C7,100n,C_0805_2012Metric,6.1,-42.2,315,top
C8,100n,C_0805_2012Metric,21,-36.8,315,top
C9,100n,C_0805_2012Metric,24.051,-64.897,270,top
C10,10u,C_0805_2012Metric,5.588,-21.754,0,top
C11,100n,C_0805_2012Metric,17.484951,-46.191056,45,top
C12,10u,C_0805_2012Metric,6.275,-9.49,270,top
C13,1u,C_0805_2012Metric,4.292,-9.49,270,top
C14,100n,C_0805_2012Metric,12.525,-64.897,270,top
C15,100n,C_0805_2012Metric,2.3,-9.49,270,top
D1,Power LED,LED_0805_2012Metric,-1.7,-38.1,90,top
D2,LED1,LED_0805_2012Metric,17.3,-55.6,90,top
FB1,500mA,L_0805_2012Metric,5.588,-24.412,180,top
FB2,500mA,L_0805_2012Metric,18.075,-31.2,135,top
FB3,500mA,L_0805_2012Metric,18.85,-47.5,225,top
J1,USB_B_Micro,105017-0001,-2,-25.7,270,top
R1,22r,R_0805_2012Metric,10.2,-32.7,135,top
R2,22r,R_0805_2012Metric,8.8,-34.1,135,top
R3,1k,R_0805_2012Metric,0.254,-38.1,90,top
R4,10k,R_0805_2012Metric,26.025,-64.897,90,top
R5,10k,R_0805_2012Metric,10.55,-64.897,90,top
R6,1k,R_0805_2012Metric,26.162,-35.8,90,top
R7,1k,R_0805_2012Metric,19.4,-55.6,270,top
SW1,SW_Push,Alps_SKRK,21.336,-64.897,270,top
SW2,SW_Push,Alps_SKRK,15.24,-64.897,270,top
U1,ATmega32U4,QFN-44-1EP_7x7mm_P0.5mm_EP5.15x5.15mm_ThermalVias,14.072454,-39.545666,315,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,4.416,-16.07,270,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,6.858,-46.736,90,top
